date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:59:49	38007/38007	---M--	200	added ('OK')	image/png	etag:%229477-5827c1f2aaf80%22	https://www.free-css.com/assets/files/free-css-templates/preview/page248/outing/assets/images/sponsor-logo-2.png	C:/Users/Janaka%20Ishan/OneDrive/Desktop/janaka/www.free-css.com/assets/files/free-css-templates/preview/page248/outing/assets/images/sponsor-logo-2.png	(from https://www.free-css.com/assets/files/free-css-templates/preview/page248/outing/)
14:59:49	43154/43154	---M--	200	added ('OK')	image/png	etag:%22a892-5827c1f2aaf80%22	https://www.free-css.com/assets/files/free-css-templates/preview/page248/outing/assets/images/sponsor-logo-3.png	C:/Users/Janaka%20Ishan/OneDrive/Desktop/janaka/www.free-css.com/assets/files/free-css-templates/preview/page248/outing/assets/images/sponsor-logo-3.png	(from https://www.free-css.com/assets/files/free-css-templates/preview/page248/outing/)
14:59:50	44607/44607	---M--	200	added ('OK')	image/png	etag:%22ae3f-5827c1f2aaf80%22	https://www.free-css.com/assets/files/free-css-templates/preview/page248/outing/assets/images/sponsor-logo-4.png	C:/Users/Janaka%20Ishan/OneDrive/Desktop/janaka/www.free-css.com/assets/files/free-css-templates/preview/page248/outing/assets/images/sponsor-logo-4.png	(from https://www.free-css.com/assets/files/free-css-templates/preview/page248/outing/)
14:59:50	36012/36012	---M--	200	added ('OK')	image/png	etag:%228cac-5827c1f2aaf80%22	https://www.free-css.com/assets/files/free-css-templates/preview/page248/outing/assets/images/sponsor-logo-5.png	C:/Users/Janaka%20Ishan/OneDrive/Desktop/janaka/www.free-css.com/assets/files/free-css-templates/preview/page248/outing/assets/images/sponsor-logo-5.png	(from https://www.free-css.com/assets/files/free-css-templates/preview/page248/outing/)
14:59:50	34850/34850	---M--	200	added ('OK')	image/png	etag:%228822-5827c1f2aaf80%22	https://www.free-css.com/assets/files/free-css-templates/preview/page248/outing/assets/images/sponsor-logo-6.png	C:/Users/Janaka%20Ishan/OneDrive/Desktop/janaka/www.free-css.com/assets/files/free-css-templates/preview/page248/outing/assets/images/sponsor-logo-6.png	(from https://www.free-css.com/assets/files/free-css-templates/preview/page248/outing/)
14:59:50	86661/86661	---M--	200	added ('OK')	text/javascript	etag:%2215285-5827b1dacb780%22	https://www.free-css.com/assets/files/free-css-templates/preview/page248/outing/assets/js/jquery.min.js	C:/Users/Janaka%20Ishan/OneDrive/Desktop/janaka/www.free-css.com/assets/files/free-css-templates/preview/page248/outing/assets/js/jquery.min.js	(from https://www.free-css.com/assets/files/free-css-templates/preview/page248/outing/)
14:59:50	18996/18996	---M--	200	added ('OK')	text/javascript	etag:%224a34-5827b1fd20880%22	https://www.free-css.com/assets/files/free-css-templates/preview/page248/outing/assets/js/popper.min.js	C:/Users/Janaka%20Ishan/OneDrive/Desktop/janaka/www.free-css.com/assets/files/free-css-templates/preview/page248/outing/assets/js/popper.min.js	(from https://www.free-css.com/assets/files/free-css-templates/preview/page248/outing/)
14:59:51	51143/51143	---M--	200	added ('OK')	text/javascript	etag:%22c7c7-5827af7e2a500%22	https://www.free-css.com/assets/files/free-css-templates/preview/page248/outing/assets/js/bootstrap.min.js	C:/Users/Janaka%20Ishan/OneDrive/Desktop/janaka/www.free-css.com/assets/files/free-css-templates/preview/page248/outing/assets/js/bootstrap.min.js	(from https://www.free-css.com/assets/files/free-css-templates/preview/page248/outing/)
14:59:51	41953/41953	---M--	200	added ('OK')	text/javascript	etag:%22a3e1-550edca79bb80%22	https://www.free-css.com/assets/files/free-css-templates/preview/page248/outing/assets/js/slick.min.js	C:/Users/Janaka%20Ishan/OneDrive/Desktop/janaka/www.free-css.com/assets/files/free-css-templates/preview/page248/outing/assets/js/slick.min.js	(from https://www.free-css.com/assets/files/free-css-templates/preview/page248/outing/)
14:59:51	774/774	---M--	200	added ('OK')	text/javascript	etag:%22306-5827b21403e80%22	https://www.free-css.com/assets/files/free-css-templates/preview/page248/outing/assets/js/custom.js	C:/Users/Janaka%20Ishan/OneDrive/Desktop/janaka/www.free-css.com/assets/files/free-css-templates/preview/page248/outing/assets/js/custom.js	(from https://www.free-css.com/assets/files/free-css-templates/preview/page248/outing/)
